año,trimestre,provincia,banda_ancha_fija,dial_up,total
2016,1,San Luis,12.915,317.0,13.232
2016,1,Santa Cruz,25.931,356.0,26.287
2016,1,Santa Fe,551.378,618.0,551.996
2016,1,Santiago Del Estero,37.695,3.0,37.698
2016,1,Tierra Del Fuego,29.867,619.0,30.486
2016,1,Tucumán,146.596,41.0,146.637
2015,4,Buenos Aires,2.946.743,12.642,2.959.385
2015,4,Capital Federal,1.360.381,9.845,1.370.226
2015,4,Catamarca,26.459,13.0,26.472
2015,4,Chaco,86.537,16.0,86.553
2015,4,Chubut,62.279,1.74,64.019
2015,4,Córdoba,625.835,235.0,626.070
2015,4,Corrientes,85.409,26.0,85.435
2015,4,Entre Ríos,173.957,180.0,174.137
2015,4,Formosa,28.088,1.0,28.089
2015,4,Jujuy,39.922,2.0,39.924
2015,4,La Pampa,66.054,312.0,66.366
2015,4,La Rioja,16.914,18.0,16.932
2015,4,Mendoza,169.251,1.556,170.807
2015,4,Misiones,92.846,7.0,92.853
2015,4,Neuquén,105.122,2.294,107.416
2015,4,Río Negro,98.655,1.067,99.722
2015,4,Salta,101.917,3.0,101.920
2015,4,San Juan,51.408,621.0,52.029
2015,4,San Luis,12.901,317.0,13.218
2015,4,Santa Cruz,26.047,356.0,26.403
2015,4,Santa Fe,561.045,627.0,561.672
2015,4,Santiago Del Estero,39.132,3.0,39.135
2015,4,Tierra Del Fuego,29.334,619.0,29.953
2015,4,Tucumán,146.053,42.0,146.095
2015,3,Buenos Aires,2.916.070,12.695,2.928.765
2015,3,Capital Federal,1.362.193,9.875,1.372.068
2015,3,Catamarca,26.080,13.0,26.093
2015,3,Chaco,85.354,16.0,85.370
2015,3,Chubut,62.143,1.74,63.883
2015,3,Córdoba,622.761,237.0,622.998
2015,3,Corrientes,84.931,28.0,84.959
2015,3,Entre Ríos,172.252,182.0,172.434
2015,3,Formosa,27.751,1.0,27.752
2015,3,Jujuy,39.548,2.0,39.550
2015,3,La Pampa,64.976,495.0,65.471
2015,3,La Rioja,16.753,18.0,16.771
2015,3,Mendoza,169.261,1.562,170.823
2015,3,Misiones,91.615,7.0,91.622
2015,3,Neuquén,98.376,2.24,100.616
2015,3,Río Negro,98.529,1.085,99.614
2015,3,Salta,100.570,3.0,100.573
2015,3,San Juan,51.409,621.0,52.030
2015,3,San Luis,12.902,317.0,13.219
2015,3,Santa Cruz,25.912,359.0,26.271
2015,3,Santa Fe,556.097,641.0,556.738
2015,3,Santiago Del Estero,39.394,3.0,39.397
2015,3,Tierra Del Fuego,33.118,619.0,33.737
2015,3,Tucumán,144.272,42.0,144.314
2015,2,Buenos Aires,2.871.079,12.711,2.883.790
2015,2,Capital Federal,1.336.391,9.893,1.346.284
2015,2,Catamarca,25.666,13.0,25.679
2015,2,Chaco,83.832,16.0,83.848
